age,sex,ftotinc,n
25,female,"$50,000 to $54,999",775
25,female,"$55,000 to $59,999",558
25,female,"$60,000 to $64,999",677
25,female,"$65,000 to $69,999",475
25,female,"$70,000 to $74,999",535
25,female,"$75,000 to $79,999",454
25,female,"$80,000 to $84,999",406
25,female,"$85,000 to $89,999",338
25,female,"$90,000 to $94,999",297
25,female,"$95,000 to $99,999",289
25,female,"Less than $14,999",1909
26,male,"$100,000 to $124,999",1443
26,male,"$125,000 to $149,999",877
26,male,"$15,000 to $19,999",679
26,male,"$150,000 to $174,999",662
26,male,"$175,000 to $199,999",400
26,male,"$20,000 to $24,999",847
26,male,"$200,000 to $249,999",482
26,male,"$25,000 to $29,999",822
26,male,"$250,000 and above",2192
26,male,"$30,000 to $34,999",1005
26,male,"$35,000 to $39,999",846
26,male,"$40,000 to $44,999",896
26,male,"$45,000 to $49,999",717
26,male,"$50,000 to $54,999",825
26,male,"$55,000 to $59,999",606
26,male,"$60,000 to $64,999",727
26,male,"$65,000 to $69,999",595
26,male,"$70,000 to $74,999",618
26,male,"$75,000 to $79,999",489
26,male,"$80,000 to $84,999",473
26,male,"$85,000 to $89,999",378
26,male,"$90,000 to $94,999",384
26,male,"$95,000 to $99,999",317
26,male,"Less than $14,999",1326
26,female,"$100,000 to $124,999",1327
26,female,"$125,000 to $149,999",809
26,female,"$15,000 to $19,999",725
26,female,"$150,000 to $174,999",568
26,female,"$175,000 to $199,999",366
26,female,"$20,000 to $24,999",969
26,female,"$200,000 to $249,999",423
26,female,"$25,000 to $29,999",928
26,female,"$250,000 and above",1010
26,female,"$30,000 to $34,999",1060
26,female,"$35,000 to $39,999",901
26,female,"$40,000 to $44,999",926
26,female,"$45,000 to $49,999",752
26,female,"$50,000 to $54,999",930
26,female,"$55,000 to $59,999",640
26,female,"$60,000 to $64,999",730
26,female,"$65,000 to $69,999",590
26,female,"$70,000 to $74,999",566
26,female,"$75,000 to $79,999",462
26,female,"$80,000 to $84,999",485
26,female,"$85,000 to $89,999",380
26,female,"$90,000 to $94,999",378
26,female,"$95,000 to $99,999",336
26,female,"Less than $14,999",1626
27,male,"$100,000 to $124,999",1491
27,male,"$125,000 to $149,999",981
27,male,"$15,000 to $19,999",655
27,male,"$150,000 to $174,999",615
27,male,"$175,000 to $199,999",412
27,male,"$20,000 to $24,999",852
27,male,"$200,000 to $249,999",501
27,male,"$25,000 to $29,999",798
27,male,"$250,000 and above",2189
27,male,"$30,000 to $34,999",1006
27,male,"$35,000 to $39,999",848
27,male,"$40,000 to $44,999",934
27,male,"$45,000 to $49,999",788
